LICENSE TYPE,LICENSE NO,LICENSE STATUS,FULL NAME,ISSUE DATE,EXPIRATION DATE,ADDR LINE 1,ADDR LINE 2,CITY,STATE,ZIPCODE,PHONE,DISCIPLINARY ACTION,DOCKET NUMBER,EMAIL,QUALIFIER
Contractor With LRF,249965-5501,Active,Shane Hatch Landscaping,1990-10-17,2025-11-30,restricted,restricted,OREM,UT,84058,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13504716-5501,Active,"H2No, L.L.C.",2023-08-08,2025-11-30,restricted,restricted,Salt Lake City,UT,84104,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13950796-5501,Active,SAT Fence LLC,2024-05-23,2025-11-30,restricted,restricted,Springville,UT,84663,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11399483-5501,Active,Cummings Excavation LLC,2019-08-29,2025-11-30,restricted,restricted,HEBER CITY,UT,84032,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14187292-5501,Active,Coral Canyon Concrete LLC,2024-10-15,2025-11-30,restricted,restricted,Washington,UT,84780,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10621929-5501,Active,"Blue Spruce Concrete & Landscaping, L.L.C.",2018-01-04,2025-11-30,restricted,restricted,Saint George,UT,84771,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,2036350-5501,Active,"COTTONWOOD LANDSCAPES, L.L.C.",2001-06-09,2025-11-30,restricted,restricted,WEST JORDAN,UT,84081,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13808412-5501,Active,"Clover Industries Landscaping, LLC",2024-03-25,2025-11-30,restricted,restricted,Heber City,UT,84032,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13972518-5501,Active,West Desert Fabrication LLC,2024-06-26,2025-11-30,restricted,restricted,Goshen,UT,84633,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11348037-5501,Active,ClearChoice Fence LLC,2019-07-30,2025-11-30,restricted,restricted,PLEASANT GROVE,UT,84062,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10400097-5501,Active,Greenview Landscape LLC,2017-06-08,2025-11-30,restricted,restricted,PAYSON,UT,84651,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6725168-5501,Active,"Barber Welding, Inc.",2007-08-22,2025-11-30,restricted,restricted,SPANISH FORK,UT,84660,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,7632802-5501,Active,Simpson Fence LLC,2010-04-08,2025-11-30,restricted,restricted,HEBER,UT,84032,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10453564-5501,Active,"Maywood, LLC",2017-08-03,2025-11-30,restricted,restricted,SANDY,UT,84093,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,8854212-5501,Active,"Daley Landscaping and Sprinkler, Inc",2014-01-21,2025-11-30,restricted,restricted,SPANISH FORK,UT,846605670,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12855230-5501,Active,Mirage Pools & Services LLC,2022-11-15,2025-11-30,restricted,restricted,West Jordan,UT,84088,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12968709-5501,Active,Gonzos Landscaping & Fencing LLC,2022-08-15,2025-11-30,restricted,restricted,West Jordan,UT,84081,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,4782537-5501,Active,"SN CUSTOM RAILING, INCORPORATED",2000-08-31,2025-11-30,restricted,restricted,OGDEN,UT,84401,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12182803-5501,Active,GREEN WILLOW CONCRETE & LANDSCAPING LLC,2021-02-26,2025-11-30,restricted,restricted,WEST VALLEY CITY,UT,84119,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
