LICENSE TYPE,LICENSE NO,LICENSE STATUS,FULL NAME,ISSUE DATE,EXPIRATION DATE,ADDR LINE 1,ADDR LINE 2,CITY,STATE,ZIPCODE,PHONE,DISCIPLINARY ACTION,DOCKET NUMBER,EMAIL,QUALIFIER
Contractor With LRF,5761127-5501,Active,"Shambaugh & Son, LP",2008-11-17,2025-11-30,restricted,restricted,FORT WAYNE,IN,46801,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,7880848-5501,Active,"Express Plumbing Service, LLC",2011-01-25,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84770,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6085790-5501,Active,"Linford Plumbing, LLC",2006-01-04,2025-11-30,restricted,restricted,PROVO,UT,84601,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11640293-5501,Active,Lux Interior LLC,2020-02-06,2025-11-30,restricted,restricted,Murray,UT,84123,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12724843-5501,Active,"Silver State Plumbing, LLC",2022-03-01,2025-11-30,restricted,restricted,LAS VEGAS,NV,89115,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13018947-5501,Active,BG Mechanical LLC,2022-09-19,2025-11-30,restricted,restricted,Murray,UT,84107,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,9415694-5501,Active,Tolman Plumbing LLC,2015-05-27,2025-11-30,restricted,restricted,OREM,UT,84057,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12867772-5501,Active,Blue Plumbing and Drain Cleaning Inc.,2022-05-26,2025-11-30,restricted,restricted,SPRINGVILLE,UT,84663,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,7746307-5501,Active,Paul Andrade,2010-08-05,2025-11-30,restricted,restricted,AMERICAN FORK,UT,84003,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11267426-5501,Active,DeRose Plumbing LLC,2019-04-26,2025-11-30,restricted,restricted,DRAPER,UT,84020,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11540510-5501,Active,"Murphy Company Mechanical Contractors and Engineers, Inc",2019-12-11,2025-11-30,restricted,restricted,SAINT LOUIS,MO,63132,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,344311-5501,Active,Spencer Plumbing L C,1997-10-06,2025-11-30,restricted,restricted,SYRACUSE,UT,84075,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,360785-5501,Active,"M.P. Construction & Plumbing, L.L.C.",1998-09-09,2025-11-30,restricted,restricted,KAYSVILLE,UT,84037,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6268873-5501,Active,"Scott Nelson Plumbing, Inc",2007-01-18,2025-11-30,restricted,restricted,COTTONWOOD HEIGHTS,UT,84121,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,243980-5501,Active,Paul E Hansen,1984-06-15,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84117,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13425418-5501,Active,Lux Plumbing LLC,2023-06-15,2025-11-30,restricted,restricted,Pleasant Grove,UT,84062,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14208133-5501,Active,Superior Plumbing LLC,2025-03-07,2027-11-30,restricted,restricted,Orem,UT,84058,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,5081982-5501,Active,Cal Neerings,2002-08-14,2025-11-30,restricted,restricted,RIVERTON,UT,840651269,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14185691-5501,Active,Nova Plumbing LLC,2024-09-30,2025-11-30,restricted,restricted,Saratoga Springs,UT,84045,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,13217706-5501,Active,Wasatch Mechanical Plumbing & HVAC LLC,2023-03-08,2025-11-30,restricted,restricted,West Jordan,UT,84084,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13950892-5501,Active,Oldroyd Plumbing Professionals LLC,2024-05-21,2025-11-30,restricted,restricted,West Valley City,UT,84120,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13502131-5501,Active,"True Pros, L.L.C.",2023-08-01,2025-11-30,restricted,restricted,Layton,UT,84041,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5782973-5501,Active,"Don Boothe Plumbing, Inc.",2004-12-01,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84121,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,260359-5501,Active,Kevin Barkdull Plumbing & Heating Inc,1993-03-17,2025-11-30,restricted,restricted,CENTERVILLE,UT,84014,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13421607-5501,Active,Curtis Mechanical LLC,2023-06-13,2025-11-30,restricted,restricted,Kamas,UT,84036,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12552264-5501,Active,"Hive Plumbing, LLC",2021-12-06,2025-11-30,restricted,restricted,Orem,UT,84058,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,10520091-5501,Active,Unique Plumbing LLC,2017-10-04,2025-11-30,restricted,restricted,West Valley,UT,84120,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,8341349-5501,Active,"Snow Peak Plumbing, L.L.C.",2012-06-22,2025-11-30,restricted,restricted,COALVILLE,UT,84017,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13084727-5501,Active,C&S Plumbing LLC,2022-10-26,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84790,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11696152-5501,Active,212 Mechanical LLC,2020-03-19,2025-11-30,restricted,restricted,WEST HAVEN,UT,84401,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4842452-5501,Active,"Peterson Development Company, L.L.C.",2002-10-30,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84111,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,319722-5501,Active,"Hansen HVAC & Plumbing Services, Inc",1996-04-02,2025-11-30,restricted,restricted,RIVERTON,UT,84065,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5654553-5501,Active,Park City Plumbing Inc.,2004-06-14,2025-11-30,restricted,restricted,Kamas,UT,84036,restricted,Y,2012-147,restricted,P200 - General Plumbing contractor
Contractor With LRF,11433530-5501,Active,"Bingham Plumbing & Mechanical, LLC",2019-09-19,2025-11-30,restricted,restricted,LAYTON,UT,84040,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5278353-5501,Active,MUNSON MECHANICAL INC,2003-04-22,2025-11-30,restricted,restricted,OREM,UT,84057,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5109289-5501,Active,"SMEDLEY & ASSOCIATES PLUMBING & HEATING, INC.",2003-08-25,2025-11-30,restricted,restricted,LAYTON,UT,84041,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6297904-5501,Active,"Veater Plumbing, Inc.",2006-08-15,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84770,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13963258-5501,Active,Wensel's Waterworks LLC,2024-05-31,2025-11-30,restricted,restricted,Salt Lake City,UT,84118,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,251459-5501,Active,R G Plumbing Inc,1992-03-17,2025-11-30,restricted,restricted,WEST JORDAN,UT,84081 3121,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12474315-5501,Active,Visionary Plumbing LLC,2021-09-20,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84790,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13848130-5501,Active,Randy's Plumbing & heating,2024-04-01,2025-11-30,restricted,restricted,Clearfield,UT,84015,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,353474-5501,Active,American Residential Services L.L.C.,1998-03-18,2025-11-30,restricted,restricted,Memphis,TN,38120,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5247136-5501,Active,"PARAMOUNT PLUMBING, LLC",2003-02-11,2025-11-30,restricted,restricted,EAGLE MOUNTAIN,UT,84005,restricted,N,,restricted,P200 - General Plumbing contractor
